GendreauDumasExtended/n20w120.001.txt |   sequence |       open |     359.00 |       0.00 | 5 12 9 19 16 17 18 10 11 15 1 6 13 4 7 2 8 3 20 14 | seed: 3091816035397295828 | 0
GendreauDumasExtended/n20w120.002.txt |   sequence |       open |     286.00 |       0.00 | 1 14 18 4 8 7 5 10 11 16 19 15 17 6 12 9 3 2 20 13 | seed: 1499170204601536780 | 0
GendreauDumasExtended/n20w120.003.txt |   sequence |       open |     354.00 |       0.00 | 5 19 13 1 3 4 16 8 9 11 17 7 2 15 14 18 10 20 12 6 | seed: 7647782177200698396 | 0
GendreauDumasExtended/n20w120.004.txt |   sequence |       open |     392.00 |       0.00 | 11 3 2 7 15 9 8 19 5 6 10 14 4 12 18 16 20 13 17 1 | seed: -4682888216686876600 | 0
GendreauDumasExtended/n20w120.005.txt |   sequence |       open |     336.00 |       0.00 | 11 7 13 19 16 18 3 8 17 5 9 15 6 10 2 4 14 20 1 12 | seed: 7211618588331608581 | 0
GendreauDumasExtended/n20w140.001.txt |   sequence |       open |     269.00 |       0.00 | 5 6 11 8 4 7 19 17 13 15 12 1 14 2 9 18 16 3 10 20 | seed: 2158014741438357824 | 0
GendreauDumasExtended/n20w140.002.txt |   sequence |       open |     356.00 |       0.00 | 10 6 18 14 16 4 15 17 19 8 5 1 7 13 11 2 9 3 12 20 | seed: 1663246369710368655 | 0
GendreauDumasExtended/n20w140.003.txt |   sequence |       open | 2147483.65 |       0.00 | 9 14 17 11 3 10 13 12 8 15 6 20 5 4 16 1 2 19 18 0 | seed: -3559063433149705183 | 0
GendreauDumasExtended/n20w140.004.txt |   sequence |       open | 2147483.65 |       0.00 | 13 17 11 15 19 7 5 18 10 4 16 6 3 12 8 14 2 9 20 0 | seed: -7365651806902214091 | 0
GendreauDumasExtended/n20w140.005.txt |   sequence |       open |     276.00 |       0.00 | 15 19 6 8 7 16 2 17 9 13 18 5 12 14 20 1 3 11 10 4 | seed: 1225367068789159990 | 0
GendreauDumasExtended/n20w160.001.txt |   sequence |       open | 2147483.65 |       0.00 | 10 19 13 1 3 11 7 5 4 14 16 2 9 15 8 12 20 18 17 0 | seed: -6964300200635679211 | 0
GendreauDumasExtended/n20w160.002.txt |   sequence |       open | 2147483.65 |       0.00 | 19 4 18 8 1 15 7 10 3 5 11 6 14 17 9 20 16 13 2 0 | seed: 3340590019123058451 | 0
GendreauDumasExtended/n20w160.003.txt |   sequence |       open |     305.00 |       0.00 | 10 11 7 5 15 13 17 8 9 12 3 2 1 4 19 18 20 16 6 14 | seed: 8888936995156123184 | 0
GendreauDumasExtended/n20w160.004.txt |   sequence |       open |     326.00 |       0.00 | 3 5 11 7 19 12 17 9 8 16 2 14 1 15 10 6 18 13 20 4 | seed: 7828695356024321302 | 0
GendreauDumasExtended/n20w160.005.txt |   sequence |       open |     314.00 |       0.00 | 13 4 1 16 3 8 5 14 15 18 10 12 7 17 20 9 2 19 11 6 | seed: -4934250943408068606 | 0
GendreauDumasExtended/n20w180.001.txt |   sequence |       open |     366.00 |       0.00 | 3 5 19 13 1 11 18 12 15 17 14 10 7 16 8 6 4 9 20 2 | seed: 6870313915746914311 | 0
GendreauDumasExtended/n20w180.002.txt |   sequence |       open | 2147483.65 |       0.00 | 16 5 17 6 9 13 18 4 10 15 3 14 19 11 8 7 20 2 0 0 | seed: 6250759980949720953 | 0
GendreauDumasExtended/n20w180.003.txt |   sequence |       open | 2147483.65 |       0.00 | 4 3 15 9 16 19 13 11 10 14 12 7 18 5 6 1 8 20 17 0 | seed: 1044403720317242328 | 0
GendreauDumasExtended/n20w180.004.txt |   sequence |       open |     322.00 |       0.00 | 18 10 17 3 7 11 2 19 8 6 5 4 13 1 14 9 16 12 20 15 | seed: -3066683276809694944 | 0
GendreauDumasExtended/n20w180.005.txt |   sequence |       open | 2147483.65 |       0.00 | 3 4 6 8 15 9 10 13 16 1 12 18 5 14 7 2 17 11 20 0 | seed: 8326301483637943190 | 0
GendreauDumasExtended/n20w200.001.txt |   sequence |       open |     310.00 |       0.00 | 9 11 8 4 15 14 10 3 5 16 2 1 6 18 13 7 17 12 20 19 | seed: -61908334750549825 | 0
GendreauDumasExtended/n20w200.002.txt |   sequence |       open |     291.00 |       0.00 | 17 10 8 16 5 1 15 4 19 11 2 12 9 14 7 13 3 6 18 20 | seed: 1506546303910947912 | 0
GendreauDumasExtended/n20w200.003.txt |   sequence |       open |     362.00 |       0.00 | 11 14 5 10 2 19 16 18 4 17 15 8 3 12 7 6 13 9 1 20 | seed: 9122465552101684229 | 0
GendreauDumasExtended/n20w200.004.txt |   sequence |       open | 2147483.65 |       0.00 | 17 18 14 10 13 6 3 4 12 19 11 2 16 1 20 7 15 9 5 0 | seed: 1662803393987465407 | 0
GendreauDumasExtended/n20w200.005.txt |   sequence |       open | 2147483.65 |       0.00 | 11 13 3 10 1 2 8 19 18 5 20 15 6 17 14 7 16 4 0 0 | seed: -1779310505231071095 | 0
GendreauDumasExtended/n40w120.001.txt |   sequence |       open | 2147483.65 |       0.00 | 6 37 4 13 15 12 39 2 35 25 5 32 38 3 33 18 14 10 31 27 9 19 29 26 11 21 34 24 28 20 40 17 30 0 0 0 0 0 0 0 | seed: 3862651301061732721 | 0
GendreauDumasExtended/n40w120.002.txt |   sequence |       open | 2147483.65 |       0.01 | 10 8 16 9 24 18 27 32 37 12 25 34 39 23 7 6 38 29 30 5 22 33 11 17 3 2 31 14 19 15 36 1 4 13 40 35 21 0 0 0 | seed: 4226284436646568584 | 0
GendreauDumasExtended/n40w120.003.txt |   sequence |       open | 2147483.65 |       0.00 | 13 2 6 12 1 33 17 23 3 26 16 37 10 5 21 27 11 8 31 25 22 29 19 9 32 15 20 34 7 4 36 28 39 40 30 18 0 0 0 0 | seed: -2971994922039949045 | 0
GendreauDumasExtended/n40w120.004.txt |   sequence |       open | 2147483.65 |       0.00 | 5 7 37 32 11 36 17 20 35 39 22 2 1 38 16 12 25 33 28 21 29 27 30 14 31 3 15 9 13 40 8 6 4 18 23 0 0 0 0 0 | seed: -2118535303178401979 | 0
GendreauDumasExtended/n40w120.005.txt |   sequence |       open |     460.00 |       0.01 | 5 38 28 21 24 12 26 34 32 2 27 13 3 11 14 29 18 19 16 33 37 8 6 4 36 17 20 25 22 9 23 1 7 31 40 39 30 15 10 35 | seed: -2770691892013088591 | 0
GendreauDumasExtended/n40w140.001.txt |   sequence |       open | 2147483.65 |       0.01 | 32 10 2 20 19 33 23 34 27 31 29 9 21 13 14 28 15 17 16 6 30 35 36 8 4 11 5 22 24 38 3 18 37 40 39 7 25 12 0 0 | seed: 6557046645780566628 | 0
GendreauDumasExtended/n40w140.002.txt |   sequence |       open |     431.00 |       0.01 | 5 35 15 7 22 36 11 34 3 19 32 12 26 25 39 1 18 14 27 13 17 29 30 16 2 24 23 31 8 10 33 28 21 4 6 9 38 40 37 20 | seed: 2455177272604861791 | 0
GendreauDumasExtended/n40w140.003.txt |   sequence |       open | 2147483.65 |       0.01 | 17 11 35 30 10 31 1 23 27 4 32 7 34 38 24 2 6 36 26 3 20 8 19 25 13 21 37 28 39 18 33 40 15 0 0 0 0 0 0 0 | seed: 2861680505295590819 | 0
GendreauDumasExtended/n40w140.004.txt |   sequence |       open | 2147483.65 |       0.00 | 12 3 8 23 26 28 9 17 32 14 38 24 25 19 11 39 15 21 7 36 6 34 29 22 35 20 10 30 18 16 37 5 2 31 40 4 0 0 0 0 | seed: 6767439770565825874 | 0
GendreauDumasExtended/n40w140.005.txt |   sequence |       open | 2147483.65 |       0.01 | 24 11 29 15 2 33 26 21 4 6 7 36 32 37 20 35 5 17 38 28 16 18 34 10 39 27 25 31 8 14 3 19 1 40 22 30 9 12 0 0 | seed: -3377242416268233984 | 0
GendreauDumasExtended/n40w160.001.txt |   sequence |       open |     437.00 |       0.01 | 15 10 36 6 16 17 4 8 7 33 19 32 31 1 27 9 25 22 18 12 21 13 3 23 26 5 35 30 34 28 29 38 2 20 14 39 11 40 37 24 | seed: -5934567500286606297 | 0
GendreauDumasExtended/n40w160.002.txt |   sequence |       open |     493.00 |       0.01 | 30 3 18 34 38 28 8 6 14 20 24 26 15 27 1 10 35 13 12 2 23 17 5 9 33 37 19 21 29 25 11 16 4 40 31 32 22 7 36 39 | seed: 7427563159852210577 | 0
GendreauDumasExtended/n40w160.003.txt |   sequence |       open | 2147483.65 |       0.00 | 18 12 36 4 22 25 10 27 34 19 39 16 28 23 17 1 24 38 14 30 37 31 13 7 15 2 3 20 29 5 21 11 40 0 0 0 0 0 0 0 | seed: 8994003693229701925 | 0
GendreauDumasExtended/n40w160.004.txt |   sequence |       open |     507.00 |       0.01 | 13 7 28 15 3 4 14 26 19 33 36 38 9 30 29 37 18 8 31 32 24 6 23 10 16 2 39 5 11 21 34 35 20 27 25 1 12 22 17 40 | seed: 5120415901238776559 | 0
GendreauDumasExtended/n40w160.005.txt |   sequence |       open | 2147483.65 |       0.01 | 4 18 20 2 25 37 17 36 3 9 5 23 11 15 24 1 26 27 13 8 6 39 30 14 31 22 21 16 35 38 10 19 32 12 34 40 0 0 0 0 | seed: 4502180025139737554 | 0
GendreauDumasExtended/n40w180.001.txt |   sequence |       open | 2147483.65 |       0.01 | 17 8 39 11 33 31 9 38 21 28 18 36 37 14 2 13 35 24 34 4 26 1 20 32 25 16 5 12 7 30 6 10 29 15 3 22 27 40 19 0 | seed: 7528472247706270093 | 0
GendreauDumasExtended/n40w180.002.txt |   sequence |       open |     460.00 |       0.00 | 30 10 15 11 14 13 18 26 8 35 17 23 19 4 27 21 37 6 24 7 1 3 2 25 39 16 36 12 33 38 32 28 20 29 34 5 22 40 9 31 | seed: -6981424362593039702 | 0
GendreauDumasExtended/n40w180.003.txt |   sequence |       open |     390.00 |       0.00 | 31 34 18 15 38 10 22 8 27 6 35 5 25 16 24 14 32 21 37 7 12 4 13 20 26 29 33 1 2 28 23 17 30 9 36 40 3 11 19 39 | seed: -9032441075341018024 | 0
GendreauDumasExtended/n40w180.004.txt |   sequence |       open |     500.00 |       0.00 | 36 15 25 20 2 10 26 19 38 3 24 4 39 30 27 8 33 1 34 14 28 31 37 9 11 29 12 22 7 13 21 23 16 5 6 18 17 35 32 40 | seed: 1016584291111579110 | 0
GendreauDumasExtended/n40w180.005.txt |   sequence |       open | 2147483.65 |       0.00 | 29 16 3 2 7 34 6 32 22 14 23 9 37 17 15 38 20 1 21 4 27 28 12 11 5 13 26 19 33 10 39 24 35 31 40 36 0 0 0 0 | seed: -880917231650522393 | 0
GendreauDumasExtended/n40w200.001.txt |   sequence |       open | 2147483.65 |       0.00 | 1 27 32 31 21 9 3 26 4 13 2 33 19 22 24 37 36 39 10 35 12 30 15 25 29 17 7 11 6 23 28 38 40 0 0 0 0 0 0 0 | seed: -3148229689243372060 | 0
GendreauDumasExtended/n40w200.002.txt |   sequence |       open |     442.00 |       0.00 | 4 36 8 26 22 24 11 15 34 33 12 9 10 7 28 21 25 39 3 23 37 30 32 1 2 29 16 19 14 18 6 27 20 5 38 35 13 17 31 40 | seed: -1325642098359712111 | 0
GendreauDumasExtended/n40w200.003.txt |   sequence |       open | 2147483.65 |       0.00 | 22 26 8 39 4 7 16 17 34 25 2 30 18 14 12 15 3 35 21 28 37 27 6 9 11 33 38 29 24 1 10 20 32 19 5 40 0 0 0 0 | seed: -7131992291189971388 | 0
GendreauDumasExtended/n40w200.004.txt |   sequence |       open | 2147483.65 |       0.00 | 19 26 6 10 27 39 16 24 28 15 17 2 3 11 29 1 37 22 5 7 23 38 34 32 33 40 8 25 12 35 13 14 31 4 9 36 30 0 0 0 | seed: 8836306619031662849 | 0
