SolomonPesant/rc201.0 |   sequence |       open | 2147483.65 |       0.00 | 11 2 1 23 15 19 5 18 9 21 24 13 12 3 4 22 17 14 10 7 16 25 0 0 0 | seed: -1362779257488705124 | 0
SolomonPesant/rc201.1 |   sequence |       open | 2147483.65 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 16 4 20 28 10 8 26 27 22 0 0 | seed: 1076000138229994681 | 0
SolomonPesant/rc201.2 |   sequence |       open | 2147483.65 |       0.00 | 26 28 19 10 8 6 5 4 7 18 20 21 23 25 13 14 27 16 3 11 9 1 15 24 2 22 17 0 | seed: 4017522641477097586 | 0
SolomonPesant/rc201.3 |   sequence |       open |     525.58 |       0.00 | 9 7 8 15 10 13 19 16 6 4 5 18 17 11 2 12 1 3 14 | seed: 5375720732150111834 | 0
SolomonPesant/rc202.0 |   sequence |       open | 2147483.65 |       0.00 | 20 21 14 7 4 2 3 15 13 19 16 24 25 9 10 17 12 11 8 1 6 23 22 18 0 | seed: 4434312278573615742 | 0
SolomonPesant/rc202.1 |   sequence |       open | 2147483.65 |       0.00 | 15 20 8 12 10 6 9 7 17 21 18 19 4 13 3 11 16 2 1 14 22 0 | seed: 5099597253412152019 | 0
SolomonPesant/rc202.2 |   sequence |       open | 2147483.65 |       0.00 | 14 2 1 11 8 12 13 9 10 18 21 26 24 23 15 5 25 6 17 16 20 7 3 27 19 0 0 | seed: 5851785788068220557 | 0
SolomonPesant/rc202.3 |   sequence |       open | 2147483.65 |       0.00 | 13 11 18 24 20 6 22 2 5 14 1 25 12 3 16 19 15 21 7 4 23 8 26 10 0 0 | seed: 2337815969037385390 | 0
SolomonPesant/rc203.0 |   sequence |       open | 2147483.65 |       0.00 | 34 22 3 17 11 6 5 13 10 8 4 1 2 26 33 20 9 30 14 7 15 16 23 29 28 32 24 19 35 25 12 18 27 31 0 | seed: 3314048968768267239 | 0
SolomonPesant/rc203.1 |   sequence |       open | 2147483.65 |       0.00 | 4 29 33 36 25 13 11 9 10 7 6 22 26 12 18 20 3 21 1 23 2 24 27 31 16 8 28 34 35 32 30 0 0 0 0 0 0 | seed: -5254010098182766812 | 0
SolomonPesant/rc203.2 |   sequence |       open | 2147483.65 |       0.00 | 11 10 9 13 26 19 12 1 25 23 27 16 22 4 15 5 2 8 7 6 14 21 17 3 28 20 18 0 | seed: -5633308454057645510 | 0
SolomonPesant/rc204.0 |   sequence |       open |     770.17 |       0.01 | 23 1 5 30 31 24 10 13 14 12 26 28 27 7 8 3 19 9 18 15 25 22 20 4 16 17 6 32 2 21 11 29 | seed: 7749280279378575520 | 0
SolomonPesant/rc204.1 |   sequence |       open |     602.87 |       0.00 | 22 14 24 16 10 4 3 18 17 26 21 11 27 13 15 23 19 28 25 12 7 5 1 2 6 9 8 20 | seed: 7307263248006403979 | 0
SolomonPesant/rc204.2 |   sequence |       open | 2147483.65 |       0.00 | 29 34 28 11 19 22 27 8 18 32 9 23 36 26 1 37 31 6 20 38 35 5 24 30 2 39 25 3 12 0 0 0 0 0 0 0 0 0 0 0 | seed: 8748794048698932466 | 0
SolomonPesant/rc205.0 |   sequence |       open | 2147483.65 |       0.00 | 26 10 17 11 18 8 23 9 19 21 7 16 20 5 4 2 6 3 1 15 14 13 25 24 22 0 | seed: 7221164991148735107 | 0
SolomonPesant/rc205.1 |   sequence |       open |     592.82 |       0.00 | 14 9 16 8 7 6 13 5 17 21 1 19 11 18 10 2 20 3 4 12 22 15 | seed: 2972954178962704340 | 0
SolomonPesant/rc205.2 |   sequence |       open | 2147483.65 |       0.00 | 27 28 19 12 6 8 25 9 7 10 13 22 17 24 14 2 15 1 5 11 21 3 26 16 4 18 0 0 | seed: 1176414398664411761 | 0
SolomonPesant/rc205.3 |   sequence |       open | 2147483.65 |       0.00 | 9 7 4 2 15 18 21 22 3 5 19 10 1 24 13 16 12 17 11 23 0 0 0 0 | seed: 174929899206994722 | 0
SolomonPesant/rc206.0 |   sequence |       open | 2147483.65 |       0.00 | 2 1 16 14 15 11 9 25 24 23 29 13 12 10 21 32 35 3 34 30 18 22 26 5 31 7 4 20 28 0 0 0 0 0 0 | seed: -1092506596506330196 | 0
SolomonPesant/rc206.1 |   sequence |       open | 2147483.65 |       0.00 | 30 31 23 21 22 15 10 12 27 26 9 7 16 28 19 8 17 5 32 3 2 24 18 20 4 33 25 0 0 0 0 0 0 | seed: -2562617882696076598 | 0
SolomonPesant/rc206.2 |   sequence |       open | 2147483.65 |       0.00 | 21 28 9 10 20 24 22 5 17 18 6 26 25 23 4 15 2 31 19 13 12 14 1 3 30 0 0 0 0 0 0 0 | seed: 1937377007245934144 | 0
SolomonPesant/rc207.0 |   sequence |       open | 2147483.65 |       0.00 | 23 11 25 32 29 6 9 10 8 22 13 34 33 18 15 7 31 36 19 28 2 3 4 26 1 21 17 37 27 0 0 0 0 0 0 0 0 | seed: 7588106097949512543 | 0
SolomonPesant/rc207.1 |   sequence |       open | 2147483.65 |       0.00 | 31 19 6 22 2 11 10 18 29 21 24 26 33 27 25 16 8 5 7 28 4 17 30 20 3 15 23 0 0 0 0 0 0 | seed: -4362787195516861800 | 0
