GendreauDumasExtended/n20w120.001.txt |   sequence | open (improved init) |     359.00 |       0.00 | 5 12 9 19 16 17 18 10 11 15 1 6 13 4 7 2 8 3 20 14 | seed: 2924454143487725608 | 60
GendreauDumasExtended/n20w120.002.txt |   sequence | open (improved init) |     286.00 |       0.00 | 1 14 18 4 8 7 5 10 11 16 19 15 17 6 12 9 3 2 20 13 | seed: -7755814530287514447 | 3
GendreauDumasExtended/n20w120.003.txt |   sequence | open (improved init) |     354.00 |       0.00 | 5 19 13 1 3 4 16 8 9 11 17 7 2 15 14 18 10 20 12 6 | seed: -4977899940495684087 | 2
GendreauDumasExtended/n20w120.004.txt |   sequence | open (improved init) |     392.00 |       0.00 | 11 3 2 7 15 9 8 19 5 6 10 14 4 12 18 16 20 13 17 1 | seed: 6247704831487001683 | 9
GendreauDumasExtended/n20w120.005.txt |   sequence | open (improved init) |     336.00 |       0.00 | 11 7 13 19 16 18 3 8 17 5 9 15 6 10 2 4 14 20 1 12 | seed: 6078365319027055336 | 1
GendreauDumasExtended/n20w140.001.txt |   sequence | open (improved init) |     269.00 |       0.00 | 5 6 11 8 4 7 19 17 13 15 12 1 14 2 9 18 16 3 10 20 | seed: 463560665462677917 | 18
GendreauDumasExtended/n20w140.002.txt |   sequence | open (improved init) |     356.00 |       0.00 | 10 6 18 14 16 4 15 17 19 8 5 1 7 13 11 2 9 3 12 20 | seed: 6101450743657825470 | 14
GendreauDumasExtended/n20w140.003.txt |   sequence | open (improved init) |     299.00 |       0.00 | 9 14 7 17 11 10 3 8 15 13 6 20 4 12 16 1 2 19 5 18 | seed: -6283962625999239360 | 16
GendreauDumasExtended/n20w140.004.txt |   sequence | open (improved init) |     295.00 |       0.00 | 13 5 1 18 17 11 15 19 7 6 10 4 16 12 3 8 14 2 9 20 | seed: -5690932431124299122 | 23
GendreauDumasExtended/n20w140.005.txt |   sequence | open (improved init) |     276.00 |       0.00 | 15 19 6 8 7 16 2 17 9 13 18 5 12 14 20 1 3 11 10 4 | seed: 4247383028806556345 | 18
GendreauDumasExtended/n20w160.001.txt |   sequence | open (improved init) |     272.00 |       0.00 | 10 19 13 1 7 6 3 5 4 11 14 16 2 9 15 12 20 8 18 17 | seed: -358703379834441442 | 8
GendreauDumasExtended/n20w160.002.txt |   sequence | open (improved init) |     227.00 |       0.00 | 19 4 18 1 8 12 15 7 10 3 5 17 9 11 14 6 2 20 16 13 | seed: 1398457114416441566 | 68
GendreauDumasExtended/n20w160.003.txt |   sequence | open (improved init) |     305.00 |       0.00 | 10 11 7 5 15 13 17 8 9 12 3 2 1 4 19 18 20 16 6 14 | seed: -3851137419420211799 | 20
GendreauDumasExtended/n20w160.004.txt |   sequence | open (improved init) |     326.00 |       0.00 | 3 5 11 7 19 12 17 9 8 16 2 14 1 15 10 6 18 13 20 4 | seed: -3737142343654964567 | 0
GendreauDumasExtended/n20w160.005.txt |   sequence | open (improved init) |     314.00 |       0.00 | 13 4 1 16 3 8 5 14 15 18 10 12 7 17 20 9 2 19 11 6 | seed: -8218407864792030887 | 0
