GendreauDumasExtended/n20w120.001.txt |   sequence |       open |     359.00 |       0.00 | 5 12 9 19 16 17 18 10 11 15 1 6 13 4 7 2 8 3 20 14 | seed: 4014221915825911765 | 50
GendreauDumasExtended/n20w120.002.txt |   sequence |       open |     286.00 |       0.00 | 1 14 18 4 8 7 5 10 11 16 19 15 17 6 12 9 3 2 20 13 | seed: -3413819068146961312 | 47
GendreauDumasExtended/n20w120.003.txt |   sequence |       open |     354.00 |       0.00 | 5 19 13 1 3 4 16 8 9 11 17 7 2 15 14 18 10 20 12 6 | seed: -3604825822513545312 | 26
GendreauDumasExtended/n20w120.004.txt |   sequence |       open |     392.00 |       0.00 | 11 3 2 7 15 9 8 19 5 6 10 14 4 12 18 16 20 13 17 1 | seed: 7918105216245507234 | 0
GendreauDumasExtended/n20w120.005.txt |   sequence |       open |     336.00 |       0.00 | 11 7 13 19 16 18 3 8 17 5 9 15 6 10 2 4 14 20 1 12 | seed: 4271582299457302332 | 60
GendreauDumasExtended/n20w140.001.txt |   sequence |       open |     269.00 |       0.00 | 5 6 11 8 4 7 19 17 13 15 12 1 14 2 9 18 16 3 10 20 | seed: 3352262613165591108 | 18
GendreauDumasExtended/n20w140.002.txt |   sequence |       open |     356.00 |       0.00 | 10 6 18 14 16 4 15 17 19 8 5 1 7 13 11 2 9 3 12 20 | seed: 3422819847289289344 | 0
GendreauDumasExtended/n20w140.003.txt |   sequence |       open |     300.00 |       0.00 | 17 11 3 10 13 9 14 7 8 15 6 20 4 12 16 1 2 19 5 18 | seed: 3906016702813742030 | 44
GendreauDumasExtended/n20w140.004.txt |   sequence |       open |     295.00 |       0.00 | 13 5 1 18 10 17 11 15 19 7 4 16 6 3 12 14 8 2 9 20 | seed: 3655520721943247901 | 95
GendreauDumasExtended/n20w140.005.txt |   sequence |       open |     276.00 |       0.00 | 15 19 6 8 7 16 2 17 9 13 18 5 12 14 20 1 3 11 10 4 | seed: 1157034931189770910 | 8
GendreauDumasExtended/n20w160.001.txt |   sequence |       open |     284.00 |       0.00 | 10 19 13 1 11 3 6 7 5 4 14 16 2 9 15 12 20 8 18 17 | seed: 3504440371925756430 | 76
GendreauDumasExtended/n20w160.002.txt |   sequence |       open |     240.00 |       0.00 | 19 4 18 8 1 12 15 7 10 17 3 5 11 9 20 16 13 2 6 14 | seed: -7873595907240621281 | 84
GendreauDumasExtended/n20w160.003.txt |   sequence |       open |     305.00 |       0.00 | 10 11 7 5 15 13 17 8 9 12 3 2 1 4 19 18 20 16 6 14 | seed: 463432588881478950 | 20
GendreauDumasExtended/n20w160.004.txt |   sequence |       open |     326.00 |       0.00 | 3 5 11 7 19 12 17 9 8 16 2 14 1 15 10 6 18 13 20 4 | seed: -506547375139676088 | 18
GendreauDumasExtended/n20w160.005.txt |   sequence |       open |     314.00 |       0.00 | 13 4 1 16 3 8 5 14 15 18 10 12 7 17 20 9 2 19 11 6 | seed: -3125310624067155120 | 2
GendreauDumasExtended/n20w180.001.txt |   sequence |       open |     366.00 |       0.00 | 3 5 19 13 1 11 18 12 15 17 14 10 7 16 8 6 4 9 20 2 | seed: 1476752453098458471 | 17
GendreauDumasExtended/n20w180.002.txt |   sequence |       open |     342.00 |       0.00 | 16 1 12 15 5 17 6 9 13 18 4 10 3 14 19 11 7 20 2 8 | seed: -3650115338120349981 | 20
GendreauDumasExtended/n20w180.003.txt |   sequence |       open |     298.00 |       0.00 | 3 15 9 16 19 13 10 14 11 4 18 2 7 12 5 6 1 8 20 17 | seed: -6823524882133896011 | 77
