SolomonPesant/rc201.0 |   sequence |       open |     667.91 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 10 7 14 16 25 | seed: 1501569540226364500 | 57
SolomonPesant/rc201.1 |   sequence |       open |     705.42 |       0.00 | 19 17 1 11 14 23 18 7 3 5 2 13 21 25 24 12 6 4 20 16 28 15 9 10 8 26 27 22 | seed: 7855557032199452814 | 55
SolomonPesant/rc201.2 |   sequence |       open |     723.91 |       0.00 | 26 28 19 10 8 6 5 4 7 18 20 21 12 13 14 23 25 27 16 3 11 9 24 1 15 2 22 17 | seed: 6084298426683063199 | 85
SolomonPesant/rc201.3 |   sequence |       open |     525.58 |       0.00 | 9 7 8 15 10 13 19 16 6 4 5 18 17 11 2 12 1 3 14 | seed: 5102862863613054855 | 11
SolomonPesant/rc202.0 |   sequence |       open |     655.83 |       0.00 | 20 21 19 14 7 4 3 2 5 13 15 16 24 25 9 10 17 12 11 8 1 6 23 22 18 | seed: 9031272283332307238 | 79
SolomonPesant/rc202.1 |   sequence |       open |     489.57 |       0.00 | 15 20 8 12 10 6 9 7 17 21 13 18 19 4 5 11 3 16 2 1 14 22 | seed: -7535985904417342097 | 3
SolomonPesant/rc202.2 |   sequence |       open |     681.43 |       0.00 | 14 2 1 11 8 12 13 9 10 18 21 24 26 15 22 23 4 5 25 6 16 20 7 17 3 27 19 | seed: -8984588877235666678 | 43
SolomonPesant/rc202.3 |   sequence |       open |     813.70 |       0.00 | 13 11 24 15 20 18 6 1 2 22 5 14 25 12 3 19 16 10 9 26 7 4 23 8 21 17 | seed: -331651079899306186 | 57
SolomonPesant/rc203.0 |   sequence |       open |     829.14 |       0.00 | 34 22 2 3 4 1 17 21 11 6 10 5 13 8 26 33 20 30 9 14 7 15 16 23 29 28 32 24 19 35 25 12 18 27 31 | seed: -983389452335650072 | 79
SolomonPesant/rc203.1 |   sequence |       open |     846.78 |       0.01 | 29 33 36 11 25 13 8 6 7 9 10 12 14 22 26 17 18 19 5 3 4 1 21 2 24 27 31 16 15 20 23 28 34 37 35 32 30 | seed: 101361154345609789 | 83
SolomonPesant/rc203.2 |   sequence |       open |     796.42 |       0.00 | 11 10 9 13 26 19 12 1 25 27 24 4 16 23 22 15 5 8 7 6 14 21 17 3 2 28 20 18 | seed: 7023735346350176119 | 59
SolomonPesant/rc204.0 |   sequence |       open |     770.17 |       0.00 | 23 1 5 30 31 24 10 13 14 12 26 28 27 7 8 3 19 9 18 15 25 22 20 4 16 17 6 32 2 21 11 29 | seed: -5107298316757457882 | 51
SolomonPesant/rc204.1 |   sequence |       open |     602.87 |       0.00 | 22 14 24 16 10 4 3 18 17 26 21 11 27 13 15 23 19 28 25 12 7 5 1 2 6 9 8 20 | seed: -4129834234160535661 | 11
SolomonPesant/rc204.2 |   sequence |       open |     888.06 |       0.04 | 22 19 16 14 12 11 13 15 17 18 27 35 28 32 8 9 24 40 23 1 37 26 6 20 3 4 21 5 7 34 29 36 30 2 39 31 25 33 10 38 | seed: -6654435325088359195 | 71
SolomonPesant/rc205.0 |   sequence |       open |     570.81 |       0.00 | 18 26 10 11 17 8 23 9 12 20 19 21 7 16 5 4 2 6 3 1 15 14 13 25 24 22 | seed: 9072325388419683600 | 31
SolomonPesant/rc205.1 |   sequence |       open |     592.82 |       0.00 | 14 9 16 8 7 6 13 5 17 21 1 19 11 18 10 2 20 3 4 12 22 15 | seed: -7040480412261739936 | 7
SolomonPesant/rc205.2 |   sequence |       open |     738.26 |       0.00 | 27 28 19 25 12 6 8 9 7 10 20 22 17 24 2 14 15 1 16 13 5 11 26 3 21 4 23 18 | seed: -7167440146641089947 | 27
SolomonPesant/rc205.3 |   sequence |       open |     642.53 |       0.00 | 1 9 7 4 2 19 15 18 8 5 3 6 14 20 10 21 22 24 13 16 12 17 11 23 | seed: 2681087184018244761 | 99
SolomonPesant/rc206.0 |   sequence |       open |     873.48 |       0.02 | 2 1 16 14 15 11 9 25 24 10 12 13 21 29 34 23 32 35 22 19 30 18 8 7 6 31 3 4 26 20 27 5 17 33 28 | seed: -7927740398998803184 | 35
