SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     451.44 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 11 17 1 12 3 10 2 15 | seed: -4709679669132531705 | 9
SolomonPotvinBengio/rc_201.2.txt |   sequence |       open |     724.10 |       0.00 | 21 13 23 10 9 12 5 6 8 16 19 25 1 17 18 24 2 11 7 4 3 14 20 22 15 | seed: 2021229032346250818 | 32
SolomonPotvinBengio/rc_201.3.txt |   sequence |       open |     807.99 |       0.00 | 15 12 14 5 17 2 30 22 27 9 10 24 7 28 19 25 26 6 8 18 3 29 20 13 11 16 4 1 21 23 31 | seed: 6912907500519363946 | 21
SolomonPotvinBengio/rc_201.4.txt |   sequence |       open |     806.18 |       0.00 | 2 14 20 3 1 17 21 6 5 4 12 13 25 23 16 11 9 10 18 24 7 15 8 22 19 | seed: -3698251273635051323 | 84
SolomonPotvinBengio/rc_202.1.txt |   sequence |       open |     807.19 |       0.00 | 30 32 21 13 6 14 11 9 7 8 10 23 2 1 18 25 5 27 28 20 4 16 15 3 22 19 17 12 26 29 31 24 | seed: -3386245989553669840 | 77
SolomonPotvinBengio/rc_202.2.txt |   sequence |       open |     415.19 |       0.00 | 12 3 9 7 6 10 8 13 2 5 4 1 11 | seed: 6761561916292063436 | 12
SolomonPotvinBengio/rc_202.3.txt |   sequence |       open |     850.22 |       0.00 | 14 8 11 21 20 5 19 22 24 25 10 12 13 28 2 16 1 9 15 23 17 4 3 26 6 7 27 18 | seed: -5049344577050848377 | 33
SolomonPotvinBengio/rc_202.4.txt |   sequence |       open |     869.64 |       0.01 | 21 8 11 17 5 4 14 7 13 22 16 19 18 9 23 2 3 25 10 6 12 1 27 15 26 20 24 | seed: -7454805473179047114 | 22
SolomonPotvinBengio/rc_203.1.txt |   sequence |       open |     495.61 |       0.00 | 17 10 9 15 11 14 7 4 5 6 1 2 18 12 8 3 13 16 | seed: 8662174274058807136 | 30
SolomonPotvinBengio/rc_203.2.txt |   sequence |       open |     828.14 |       0.00 | 13 10 11 12 26 25 21 31 27 3 8 6 14 30 16 4 15 7 5 29 19 22 18 9 23 2 1 20 32 24 17 28 | seed: -6806633679582018707 | 81
SolomonPotvinBengio/rc_203.3.txt |   sequence |       open |     849.41 |       0.06 | 19 31 15 14 16 13 11 9 8 10 12 23 18 24 34 29 28 20 1 17 5 3 2 22 25 4 6 36 26 21 27 7 33 32 35 30 | seed: -4440145360213401975 | 66
