SolomonPesant/rc201.0 |   sequence | open (improved init) |     710.15 |       0.04 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: -2064589343421760743 | 39
SolomonPesant/rc201.0 |   sequence | open (improved init) |     696.07 |       0.04 | 11 2 1 23 15 19 6 5 8 9 18 24 13 20 21 3 12 4 22 17 14 10 7 16 25 | seed: -5718537179724871645 | 31
SolomonPesant/rc201.0 |   sequence | open (improved init) |     692.88 |       0.04 | 11 2 1 23 15 19 6 5 8 9 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: 8293760201951262905 | 50
SolomonPesant/rc201.0 |   sequence | open (improved init) |     675.53 |       0.04 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 10 7 16 25 | seed: 6280909687103565228 | 52
SolomonPesant/rc201.0 |   sequence | open (improved init) |     710.15 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: 6903193146392883680 | 60
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: -7143016343022153117 | 44
SolomonPesant/rc201.0 |   sequence | open (improved init) |     710.15 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: -493452629783228129 | 25
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 5898906569361051978 | 27
SolomonPesant/rc201.0 |   sequence | open (improved init) |     675.53 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 10 7 16 25 | seed: -4511762421280882369 | 40
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -851545903956829547 | 37
SolomonPesant/rc201.0 |   sequence | open (improved init) |     697.08 |       0.04 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: 6866149253878946269 | 41
SolomonPesant/rc201.0 |   sequence | open (improved init) |     701.94 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 7 17 14 10 16 25 | seed: 7322663530723537734 | 2
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 9024804784550778748 | 48
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -8593776601996358643 | 21
SolomonPesant/rc201.0 |   sequence | open (improved init) |     675.53 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 10 7 16 25 | seed: 4526389381950717702 | 46
SolomonPesant/rc201.0 |   sequence | open (improved init) |     698.11 |       0.05 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 1293514054073084812 | 22
SolomonPesant/rc201.0 |   sequence | open (improved init) |     694.79 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 22 4 17 14 10 7 16 25 | seed: 6886712482894477476 | 59
SolomonPesant/rc201.0 |   sequence | open (improved init) |     710.15 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: 7132254618809242637 | 70
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: -3592909925649942591 | 49
SolomonPesant/rc201.0 |   sequence | open (improved init) |     719.40 |       0.05 | 11 2 1 19 15 23 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: 7794415697205462516 | 1
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.42 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 24 12 20 3 13 4 22 17 14 10 7 16 25 | seed: 3948411297004126965 | 5
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 7297246221323568084 | 19
SolomonPesant/rc201.0 |   sequence | open (improved init) |     714.36 |       0.05 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: 8032444657724493861 | 64
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 6252308333529616617 | 34
SolomonPesant/rc201.0 |   sequence | open (improved init) |     692.88 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: -1126854220477048915 | 42
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.42 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 24 12 20 3 13 4 22 17 14 10 7 16 25 | seed: -4129373869906648367 | 55
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: -2780690501456265842 | 30
SolomonPesant/rc201.0 |   sequence | open (improved init) |     700.91 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 24 13 20 3 12 4 22 7 17 14 10 16 25 | seed: -4473620725056410619 | 26
SolomonPesant/rc201.0 |   sequence | open (improved init) |     712.59 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 20 24 12 3 21 13 4 22 17 14 10 7 16 25 | seed: 1927296141742078951 | 33
SolomonPesant/rc201.0 |   sequence | open (improved init) |     718.18 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 7 17 14 10 16 25 | seed: -4358616022982324035 | 24
SolomonPesant/rc201.0 |   sequence | open (improved init) |     690.20 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 25 16 | seed: 7526370815399037700 | 36
SolomonPesant/rc201.0 |   sequence | open (improved init) |     699.89 |       0.05 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 7 10 16 25 | seed: 2070557950173751308 | 29
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 4928989142470813980 | 28
SolomonPesant/rc201.0 |   sequence | open (improved init) |     721.78 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 22 4 17 14 10 7 16 25 | seed: 7367582895581440232 | 16
SolomonPesant/rc201.0 |   sequence | open (improved init) |     698.11 |       0.05 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -7904010216539358440 | 35
SolomonPesant/rc201.0 |   sequence | open (improved init) |     701.94 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 7 17 14 10 16 25 | seed: -1917972734422156994 | 38
SolomonPesant/rc201.0 |   sequence | open (improved init) |     698.11 |       0.06 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 640865196286400768 | 11
SolomonPesant/rc201.0 |   sequence | open (improved init) |     687.98 |       0.06 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 7 10 14 16 25 | seed: -921133354483685365 | 23
SolomonPesant/rc201.0 |   sequence | open (improved init) |     678.34 |       0.06 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 7 10 16 25 | seed: 1967243167982175388 | 20
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.06 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 2469508982930579741 | 54
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -4659012342525093309 | 13
SolomonPesant/rc201.0 |   sequence | open (improved init) |     697.08 |       0.02 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: 1101813710593008415 | 61
SolomonPesant/rc201.0 |   sequence | open (improved init) |     728.94 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 3 24 20 12 13 4 22 17 14 10 7 16 25 | seed: -4895637946135163724 | 6
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 2113443310862809677 | 15
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 2984322550335075240 | 58
SolomonPesant/rc201.0 |   sequence | open (improved init) |     738.65 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 22 4 17 14 10 7 16 25 | seed: -991944692579642312 | 57
SolomonPesant/rc201.0 |   sequence | open (improved init) |     698.11 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 8216321081611058909 | 0
SolomonPesant/rc201.0 |   sequence | open (improved init) |     697.08 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: 1222505296606483285 | 9
SolomonPesant/rc201.0 |   sequence | open (improved init) |     667.91 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 10 7 14 16 25 | seed: -6530067415265692491 | 43
SolomonPesant/rc201.0 |   sequence | open (improved init) |     710.15 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: -7018335217414958435 | 3
SolomonPesant/rc201.0 |   sequence | open (improved init) |     694.79 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 22 4 17 14 10 7 16 25 | seed: 6648537566385728224 | 8
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 4235048974884792795 | 62
SolomonPesant/rc201.0 |   sequence | open (improved init) |     696.74 |       0.03 | 2 11 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: -2149245382038627543 | 51
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -4507118732197602803 | 66
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 1951930844128529449 | 32
SolomonPesant/rc201.0 |   sequence | open (improved init) |     698.11 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -8082445345883417813 | 56
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -834425036303118695 | 45
SolomonPesant/rc201.0 |   sequence | open (improved init) |     697.08 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: 7123497999733606906 | 14
SolomonPesant/rc201.0 |   sequence | open (improved init) |     675.53 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 10 7 16 25 | seed: 1630481158507890893 | 18
SolomonPesant/rc201.0 |   sequence | open (improved init) |     675.53 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 10 7 16 25 | seed: -8641843349184104213 | 17
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 3588224149982554296 | 72
SolomonPesant/rc201.0 |   sequence | open (improved init) |     726.79 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 25 16 | seed: -8409956877722632894 | 4
SolomonPesant/rc201.0 |   sequence | open (improved init) |     701.94 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 7 17 14 10 16 25 | seed: -5618229293790645161 | 63
SolomonPesant/rc201.0 |   sequence | open (improved init) |     679.27 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 22 4 17 7 10 14 16 25 | seed: -6040708480676929972 | 75
