SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -4386788651929568154 | 13
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 892394548105319155 | 60
SolomonPesant/rc201.0 |   sequence |       open |     718.18 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 7 17 14 10 16 25 | seed: 5722880531033693203 | 40
SolomonPesant/rc201.0 |   sequence |       open |     733.45 |       0.05 | 11 2 1 15 23 19 6 5 8 9 18 21 3 24 20 12 13 22 4 17 14 10 7 16 25 | seed: -5474799598622893342 | 12
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 9184566855207018199 | 1
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -2984161235508960646 | 30
SolomonPesant/rc201.0 |   sequence |       open |     730.49 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 880999043589078596 | 5
SolomonPesant/rc201.0 |   sequence |       open |     731.04 |       0.05 | 11 2 1 15 23 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 1582120815855335202 | 0
SolomonPesant/rc201.0 |   sequence |       open |     728.94 |       0.05 | 11 2 1 23 15 19 6 9 8 5 18 21 3 24 20 12 13 4 22 17 14 10 7 16 25 | seed: 6962633507443778021 | 41
SolomonPesant/rc201.0 |   sequence |       open |     683.56 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 7 17 14 10 16 25 | seed: -2863141576567850599 | 35
SolomonPesant/rc201.0 |   sequence |       open |     728.92 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 24 20 21 3 12 13 4 22 17 14 7 10 16 25 | seed: 7188783061310445701 | 33
SolomonPesant/rc201.0 |   sequence |       open |     675.53 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 10 7 16 25 | seed: -1262263668710144067 | 42
SolomonPesant/rc201.0 |   sequence |       open |     671.09 |       0.05 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 10 7 14 16 25 | seed: 6149790562220831350 | 16
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 6990419137220527106 | 32
SolomonPesant/rc201.0 |   sequence |       open |     705.12 |       0.05 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 7 17 14 10 16 25 | seed: -897360046917020197 | 10
SolomonPesant/rc201.0 |   sequence |       open |     730.49 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: -6203087421414936355 | 31
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -6211922257804330494 | 75
SolomonPesant/rc201.0 |   sequence |       open |     724.73 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 3 24 20 12 13 4 22 17 14 10 7 16 25 | seed: -276262625928627769 | 27
SolomonPesant/rc201.0 |   sequence |       open |     698.11 |       0.05 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -2961853821904530792 | 51
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 2445714517954404654 | 7
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 3589475282627468146 | 9
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -1604719747852296131 | 25
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 3870243077595402181 | 50
SolomonPesant/rc201.0 |   sequence |       open |     678.34 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 7 10 16 25 | seed: -3390860605648509534 | 49
SolomonPesant/rc201.0 |   sequence |       open |     697.08 |       0.05 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: -3602634109843814619 | 64
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -5360933984270004321 | 3
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 3047610916119936794 | 66
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -3848121368904809358 | 74
SolomonPesant/rc201.0 |   sequence |       open |     734.27 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 24 20 21 3 12 13 22 4 17 14 10 7 16 25 | seed: 109980011669347269 | 11
SolomonPesant/rc201.0 |   sequence |       open |     714.53 |       0.05 | 11 2 1 23 15 19 5 6 8 9 18 20 24 12 3 21 13 4 22 17 14 10 7 16 25 | seed: -577754173866899896 | 70
