SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -1888680177628538559 | 74
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     459.01 |       0.00 | 14 18 13 9 5 8 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -5552150337281713580 | 50
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     501.42 |       0.00 | 14 18 13 9 5 4 6 7 8 16 17 11 1 3 19 10 12 2 15 | seed: -4305469244220029898 | 49
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     457.96 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 3 10 12 2 15 | seed: -8419518549450804798 | 35
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     459.67 |       0.00 | 14 18 13 9 8 5 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 4045287758765754683 | 24
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -7622253970667526199 | 57
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     516.04 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 19 10 3 12 15 2 | seed: -4975061210867394395 | 41
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     462.71 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 19 11 12 3 1 10 2 15 | seed: -7196484559098898464 | 30
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -5630842022544089397 | 31
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     540.20 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 15 2 | seed: 357161482161423837 | 2
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     490.91 |       0.00 | 14 18 13 9 5 4 8 6 7 16 11 17 1 12 19 3 10 2 15 | seed: -4244793660218356495 | 21
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 6881242316968107568 | 44
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 2608891347774866929 | 16
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     524.93 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 3 19 10 12 15 2 | seed: 6077855049261630292 | 15
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     453.05 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 17 11 1 12 3 10 2 15 | seed: -1150594561233658133 | 75
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     453.05 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 17 11 1 12 3 10 2 15 | seed: -3883750940086850561 | 45
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     524.93 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 3 19 10 12 15 2 | seed: -9092074306699033765 | 48
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     463.64 |       0.00 | 14 18 13 9 4 8 5 7 6 16 19 17 11 1 12 3 10 2 15 | seed: 2816302752872976180 | 10
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     459.01 |       0.00 | 14 18 13 9 5 8 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -8496032409819865570 | 46
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     488.95 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 1 12 11 19 3 10 2 15 | seed: 1530689481776742012 | 23
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     498.54 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 12 19 3 10 2 15 | seed: -4819885087426233650 | 56
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 4624094973810781405 | 77
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     501.42 |       0.00 | 14 18 13 9 5 4 6 7 8 16 17 11 1 3 19 10 12 2 15 | seed: 2282213506645234639 | 52
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     488.95 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 1 12 11 19 3 10 2 15 | seed: 832459811265633001 | 22
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -4024828931323744386 | 69
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     524.93 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 3 19 10 12 15 2 | seed: 641731755083004526 | 72
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     460.32 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 19 11 12 3 1 10 2 15 | seed: -6139658815626897601 | 13
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     459.64 |       0.00 | 14 18 13 9 4 8 5 7 6 16 19 11 17 1 12 3 10 2 15 | seed: 5158835900485491197 | 40
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 2895253837386453 | 73
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     524.10 |       0.00 | 14 18 13 9 5 4 6 7 8 16 17 11 1 3 19 10 12 15 2 | seed: 7718771343216355986 | 38
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     488.12 |       0.00 | 14 18 13 9 5 4 6 7 8 16 17 1 12 11 19 3 10 2 15 | seed: 7490465277093269159 | 71
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     462.71 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 19 11 12 3 1 10 2 15 | seed: 804222300308377327 | 26
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -8398734520309592626 | 43
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     542.58 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 12 19 3 10 15 2 | seed: -5545119670144187853 | 25
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -945738721643058551 | 5
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     453.89 |       0.00 | 14 18 13 9 8 6 4 5 7 16 19 17 11 1 12 3 10 2 15 | seed: -5208487805161662298 | 11
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -6307433024885668079 | 68
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 9044559091265163245 | 3
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -2840121093501024095 | 55
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     459.01 |       0.00 | 14 18 13 9 5 8 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 8341921484335982203 | 33
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     542.58 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 12 19 3 10 15 2 | seed: 595986273324160820 | 0
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     449.05 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 11 17 1 12 3 10 2 15 | seed: -6909878493014770671 | 60
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     499.87 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 3 19 10 12 2 15 | seed: -7099023781843190437 | 12
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     499.47 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 15 2 | seed: -8850325260163640677 | 6
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     489.30 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 1 3 11 19 10 12 2 15 | seed: 6013123673448372612 | 51
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     501.42 |       0.00 | 14 18 13 9 5 4 6 7 8 16 17 11 1 3 19 10 12 2 15 | seed: 1765986065420233056 | 39
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     498.54 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 12 19 3 10 2 15 | seed: -7184168746209863882 | 17
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     459.87 |       0.00 | 14 18 13 9 5 4 6 7 8 16 11 19 17 1 12 10 3 2 15 | seed: -2076254825673968570 | 76
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -6623735764238414374 | 63
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -7762673138826499586 | 65
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     502.96 |       0.00 | 14 18 13 9 4 5 7 6 8 16 17 11 1 3 19 10 12 2 15 | seed: -1482655868726653362 | 34
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     459.01 |       0.00 | 14 18 13 9 5 8 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 6801820886317045247 | 37
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     496.99 |       0.00 | 14 18 13 9 8 6 4 5 7 16 17 11 1 12 19 3 10 2 15 | seed: -5652010879575757746 | 47
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     488.52 |       0.00 | 14 18 13 9 5 4 6 8 7 16 11 17 1 12 19 3 10 2 15 | seed: -1891441342224981064 | 4
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     490.97 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 19 10 3 12 2 15 | seed: 5664755899705917501 | 19
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     524.10 |       0.00 | 14 18 13 9 5 4 6 7 8 16 17 11 1 3 19 10 12 15 2 | seed: -1219475000234346638 | 27
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 8599479628775635841 | 53
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     463.64 |       0.00 | 14 18 13 9 4 8 5 7 6 16 19 17 11 1 12 3 10 2 15 | seed: -765993269401636461 | 64
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     483.04 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 1 11 19 12 10 3 2 15 | seed: 2078740672758822341 | 70
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     490.97 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 19 10 3 12 2 15 | seed: 2726514500150082674 | 59
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     453.05 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 17 11 1 12 3 10 2 15 | seed: 7982460215244491566 | 20
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 3765228392455081169 | 54
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 23396937511229775 | 8
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     499.87 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 3 19 10 12 2 15 | seed: 7776807909606118066 | 28
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     453.89 |       0.00 | 14 18 13 9 8 6 4 5 7 16 19 17 11 1 12 3 10 2 15 | seed: -380521105276436154 | 61
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 1468494050111299866 | 58
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     463.64 |       0.00 | 14 18 13 9 4 8 5 7 6 16 19 17 11 1 12 3 10 2 15 | seed: 5879080022652156803 | 67
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     496.99 |       0.00 | 14 18 13 9 8 6 4 5 7 16 17 11 1 12 19 3 10 2 15 | seed: 5136877760468187687 | 42
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     516.04 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 19 10 3 12 15 2 | seed: -7479601787537841444 | 66
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -2244974809007442946 | 62
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     460.03 |       0.00 | 14 18 13 9 6 4 5 8 7 16 19 17 11 1 12 3 10 2 15 | seed: 2826671389892734721 | 18
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     498.16 |       0.00 | 14 18 13 9 4 5 6 8 7 16 11 17 1 3 19 10 12 2 15 | seed: -2702367561846784147 | 1
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     453.05 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 17 11 1 12 3 10 2 15 | seed: -5766166902874218465 | 29
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -340922988152037552 | 14
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     462.71 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 19 11 12 3 1 10 2 15 | seed: -2576901913944855562 | 7
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -8146561899296389328 | 36
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     463.64 |       0.00 | 14 18 13 9 4 8 5 7 6 16 19 17 11 1 12 3 10 2 15 | seed: -5384008768659791306 | 32
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -1775844152717980108 | 9
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     540.20 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 15 2 | seed: -8349970441810966434 | 82
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     453.05 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 17 11 1 12 3 10 2 15 | seed: -7588304253186602894 | 83
SolomonPotvinBengio/rc_201.1.txt |   sequence | open (improved init) |     459.14 |       0.00 | 14 18 13 9 4 8 6 5 7 16 19 17 11 1 12 3 10 2 15 | seed: 987001038826145179 | 87
