SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     458.20 |       0.00 | 14 18 13 9 5 6 8 4 7 16 19 17 11 1 12 3 10 2 15 | seed: 1586056136638303249 | 5
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     502.25 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 3 19 10 12 2 15 | seed: 4601043112107021949 | 35
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     467.34 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 19 1 10 12 3 2 15 | seed: -300312744965780750 | 27
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     459.01 |       0.00 | 14 18 13 9 5 8 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 1264224969799235096 | 50
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     488.52 |       0.00 | 14 18 13 9 5 4 6 8 7 16 11 17 1 12 19 3 10 2 15 | seed: 7637709082869266104 | 46
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     459.01 |       0.00 | 14 18 13 9 5 8 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 2720492796510169198 | 21
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -1343010948866813824 | 48
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     460.66 |       0.00 | 14 18 13 9 8 4 5 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -1438338974598026539 | 1
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     501.42 |       0.00 | 14 18 13 9 5 4 6 7 8 16 17 11 1 3 19 10 12 2 15 | seed: -5215522892520499025 | 44
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -6925277062635252118 | 75
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     453.05 |       0.00 | 14 18 13 9 5 4 6 8 7 16 19 17 11 1 12 3 10 2 15 | seed: -4665438366140270971 | 22
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -8523909862121388542 | 64
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     493.36 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 11 1 19 10 3 12 2 15 | seed: 1021653550684872451 | 19
